code,p0,p1,p2,p3,p4,p5,p6
BT1-067,2,0,0,,,,
BT1-070,4,,,,,,
BT1-077,4,,,,,,
BT1-078,1,,,,,,
BT1-112,1,,,,,,
BT2-050,2,,,,,,
BT3-054,3,,,,,,
BT6-038,1,,,,,,
BT6-048,4,,,,,,
BT7-045,6,,,,,,
BT7-046,4,,,,,,
BT7-047,4,,,,,,
BT8-054,4,,,,,,
BT9-004,1,,,,,,
BT9-007,1,,,,,,
BT9-019,1,,,,,,
BT9-023,1,,,,,,
BT9-045,1,,,,,,
BT9-048,1,,,,,,
BT9-058,1,,,,,,
BT9-060,1,,,,,,
BT9-070,1,,,,,,
BT9-091,1,,,,,,
BT9-102,1,,,,,,
BT10-002,1,,,,,,
BT10-003,1,,,,,,
BT10-004,4,,,,,,
BT10-017,2,,,,,,
BT10-018,2,,,,,,
BT10-021,1,,,,,,
BT10-022,2,,,,,,
BT10-029,2,,,,,,
BT10-031,2,,,,,,
BT10-033,2,,,,,,
BT10-034,2,,,,,,
BT10-036,3,,,,,,
BT10-037,3,,,,,,
BT10-039,1,,,,,,
BT10-043,1,,,,,,
BT10-049,2,,,,,,
BT10-050,3,,,,,,
BT10-055,1,,,,,,
BT10-100,2,,,,,,
BT10-098,2,,,,,,
BT10-105,2,,,,,,
BT10-109,1,,,,,,
BT11-103,1,,,,,,
BT11-021,,,,,,,
BT9-109,1,1,,,,,
